"Residential property buyers: Demographic data, first-time home buyer status, and price-to-income ratio 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 46-10-0062-01"
"Release date: 2024-12-09"
"Geography: Province or territory, Census subdivision, Census metropolitan area, Census agglomeration, Census agglomeration part"
""
""

,,,"Age groups","Total, all age groups",,,,,
,,,"Estimates 5","Number of property buyers 2 13",,"Median sale price 14 15",,"Median of price-to-income ratio 14 16",
"Geography 7","Number of buyers as part of a property sale 8","First-time home buyer status","Buyer characteristics 9 10 11 12","2020","2021","2020","2021","2020","2021"
,,,,"Number",,"Dollars",,,
"Nova Scotia","Total, all number of buyers categories","First-time home buyer 17","Male","2,980","3,505","246,000","300,000","2.4","2.7"
,,,"Female","2,855","3,410","240,000","300,000","2.4","2.7"
,,,"Immigrant 18","1,360","1,690","309,000","378,000","2.9","3.5"
,,,"Non-immigrant","4,470","5,225","220,000","272,000","2.2","2.5"
,,"Not first-time home buyer","Male","10,790","14,585","200,000","232,000","1.7","2.0"
,,,"Female","10,415","14,225","202,000","244,000","1.9","2.1"
,,,"Immigrant 18","2,515","4,330","278,000","315,000","2.5","2.7"
,,,"Non-immigrant","18,690","24,475","190,000","225,000","1.7","1.9"
,"Single buyer","First-time home buyer 17","Male","870","945","189,000","230,000","2.8","3.1"
,,,"Female","775","835","170,000","211,000","2.6","3.1"
,,,"Immigrant 18","250","285","259,000","324,000","3.5","4.0"
,,,"Non-immigrant","1,400","1,500","169,000","200,000","2.6","2.9"
,,"Not first-time home buyer","Male","2,510","3,215","148,000","158,000","2.0","2.2"
,,,"Female","2,180","2,890","169,000","200,000","2.7","3.2"
,,,"Immigrant 18","530","835","236,000","250,000","3.6","3.6"
,,,"Non-immigrant","4,160","5,270","150,000","170,000","2.2","2.5"
,"Paired buyer","First-time home buyer 17","Male","2,000","2,405","271,000","331,000","2.3","2.7"
,,,"Female","1,985","2,430","270,000","328,000","2.3","2.7"
,,,"Immigrant 18","1,080","1,365","317,000","390,000","2.9","3.4"
,,,"Non-immigrant","2,905","3,480","250,000","300,000","2.1","2.4"
,,"Not first-time home buyer","Male","7,625","10,375","220,000","255,000","1.7","2.0"
,,,"Female","7,560","10,365","220,000","255,000","1.7","2.0"
,,,"Immigrant 18","1,825","3,205","285,000","330,000","2.4","2.6"
,,,"Non-immigrant","13,360","17,540","210,000","244,000","1.6","1.9"
,"Buyer in a group of three or more","First-time home buyer 17","Male","105","155","226,000","300,000","1.4","1.4"
,,,"Female","100","145","220,000","280,000","1.5","1.4"
,,,"Immigrant 18","30","50","325,000","378,000","2.4","2.7"
,,,"Non-immigrant","170","255","217,000","282,000","1.3","1.4"
,,"Not first-time home buyer","Male","665","995","190,000","220,000","0.9","1.1"
,,,"Female","675","970","194,000","224,000","0.9","1.2"
,,,"Immigrant 18","170","295","313,000","297,000","1.7","1.3"
,,,"Non-immigrant","1,170","1,675","175,000","219,000","0.9","1.1"

Symbol legend:
A, data quality: excellent




Footnotes:
1,"The universe of this table is restricted to resident buyers who are persons who filed their T1 tax return form in the previous year and purchased a property in a market sale. A market sale refers to an arm's length transaction where all parties act independently with no influence over the other."
2,""Property buyer" refers to a residential property owner that has the property title transferred to, recorded in, registered in or otherwise carried in his name after the sale of a property during the reference period."
3,""Residential property" refers to all land and structures intended for private dwelling purposes, whether on a permanent or a temporary basis. A residential property may have more than one owner."
4,"Buyers in reference period (Y) are owners of the following reference period (Y+1), who purchased a property from January 1st to December 31st of the reference period (Y)."
